,,,,,$ [Saber] Average Ticket ,,15000.0,,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,7500.0,,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,,
,,,,,# [Saber],,192.0,,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,2880000.0,,,,,,,,,,,,
,,,,,# [Ter],,48.0,,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,360000.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Activation,,,,,,,,,,,,,,,,,,
,,VM5,,# WONs,,,1042.0,,,,,,,,,,,,
,,CR5,,% WONs → Activation,,,0.9261036468,,,,,,,,,,,,
,,,,# Customers Activated,,,965.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,VM5,,# Revenue Won,,,21834800.0,,,,,,,,,,,,
,,CR5,,% Revenue Won → Activation,,,0.93,,,,,,,,,,,,
,,,,$ Revenue Activated,,,20306364.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Enterprise,,,,,,,,,,,,,,,,
,,,,# WONs,,,32.0,,,,,,,,,,,,
,,,,% Activations,,,0.875,,,,,,,,,,,,
,,,,# Activations,,,28.0,,,,,,,,,,,,
,,,,$ Revenue Activated,,,0.93,,,,,,,,,,,,
,,,,# Revenue Activations,,,1455264.0,,,,,,,,,,,,
,,,,,%  [Saber],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Saber],,0.93,,,,,,,,,,,,
,,,,,%  [Ter],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Ter] ,,0.93,,,,,,,,,,,,
,,,,,%  [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Potencializar],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Potencializar],,0.93,,,,,,,,,,,,
,,,,,#   [Saber],,19.0,,,,,,,,,,,,
,,,,,$   Revenue [Saber],,558000.0,,,,,,,,,,,,
,,,,,#   [Ter],,3.0,,,,,,,,,,,,
,,,,,$   Revenue [Ter],,88164.0,,,,,,,,,,,,
,,,,,#   [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,#   [Executar-loyalty],,6.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-loyalty] ,,809100.0,,,,,,,,,,,,
,,,,,#   [Potencializar],,3.0,,,,,,,,,,,,
,,,,,$   Revenue [Potencializar],,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Large,,,,,,,,,,,,,,,,
,,,,# WONs,,,45.0,,,,,,,,,,,,
,,,,% Activations,,,0.8444444444,,,,,,,,,,,,
,,,,# Activations,,,38.0,,,,,,,,,,,,
,,,,$ Revenue Activated,,,0.93,,,,,,,,,,,,
,,,,# Revenue Activations,,,1540080.0,,,,,,,,,,,,
,,,,,%  [Saber],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Saber],,0.93,,,,,,,,,,,,
,,,,,%  [Ter],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Ter] ,,0.93,,,,,,,,,,,,
,,,,,%  [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Potencializar],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Potencializar],,0.93,,,,,,,,,,,,
,,,,,#   [Saber],,25.0,,,,,,,,,,,,
,,,,,$   Revenue [Saber],,627750.0,,,,,,,,,,,,
,,,,,#   [Ter],,5.0,,,,,,,,,,,,
,,,,,$   Revenue [Ter],,83700.0,,,,,,,,,,,,
,,,,,#   [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,#   [Executar-loyalty],,8.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-loyalty] ,,828630.0,,,,,,,,,,,,
,,,,,#   [Potencializar],,4.0,,,,,,,,,,,,
,,,,,$   Revenue [Potencializar],,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Medium,,,,,,,,,,,,,,,,
,,,,# WONs,,,216.0,,,,,,,,,,,,
,,,,%  Activations,,,0.9305555556,,,,,,,,,,,,
,,,,#  Activations,,,201.0,,,,,,,,,,,,
,,,,$  Revenue Activated,,,0.93,,,,,,,,,,,,
,,,,#  Revenue Activations,,,5636730.0,,,,,,,,,,,,
,,,,,%  [Saber],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Saber],,0.93,,,,,,,,,,,,
,,,,,%  [Ter],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Ter] ,,0.93,,,,,,,,,,,,
,,,,,%  [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-no loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Executar-loyalty],,0.93,,,,,,,,,,,,
,,,,,%  [Potencializar],,0.0,,,,,,,,,,,,
,,,,,%  Revenue [Potencializar],,0.0,,,,,,,,,,,,
,,,,,#   [Saber],,120.0,,,,,,,,,,,,
,,,,,$   Revenue [Saber],,2399400.0,,,,,,,,,,,,
,,,,,#   [Ter],,21.0,,,,,,,,,,,,
,,,,,$   Revenue [Ter],,320850.0,,,,,,,,,,,,
,,,,,#   [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,#   [Executar-loyalty],,60.0,,,,,,,,,,,,
,,,,,$   Revenue [Executar-loyalty] ,,2916480.0,,,,,,,,,,,,
,,,,,#   [Potencializar],,0.0,,,,,,,,,,,,
,,,,,$   Revenue [Potencializar],,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Small,,,,,,,,,,,,,,,,
,,,,# WONs,,,509.0,,,,,,,,,,,,
,,,,% Small Activations,,,0.931237721,,,,,,,,,,,,
,,,,# Small Activations,,,474.0,,,,,,,,,,,,
,,,,$ Small Revenue Activated,,,0.93,,,,,,,,,,,,
,,,,# Small Revenue Activations,,,8661090.0,,,,,,,,,,,,
,,,,,%  [Saber],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Saber],,0.93,,,,,,,,,,,,
,,,,,%  [Ter],,0.93,,,,,,,,,,,,
,,,,,%  Revenue [Ter] ,,0.93,,,,,,,,,,,,
